City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
431,Ligayan,PH,81.97,scattered clouds,4.6533,119.4706,
436,Springbok,ZA,81.88,scattered clouds,-29.6643,17.8865,Undulata Country Lodge
437,Buchanan,LR,75.16,clear sky,5.8808,-10.0467,Kamaneahn Hotel Inc
441,Jinka,ET,81.75,few clouds,5.65,36.65,
446,Azamgarh,IN,75.51,moderate rain,26.06,83.1861,Spring Hills
450,Kisangani,CD,79.16,few clouds,0.5167,25.2,Grand Ramela Hotel
456,Farafangana,MG,80.06,light rain,-22.8167,47.8333,Miarina
457,Bara,NG,78.39,overcast clouds,10.3744,10.7288,
464,Lekoni,GA,81.36,overcast clouds,-1.5843,14.2591,Rendez-vous Des ChasseursD
466,Mongo,TD,81.88,scattered clouds,12.1844,18.693,Résidences du Programme FIDA
467,Sawakin,SD,78.42,few clouds,19.1059,37.3321,فندق الدويم
472,Axim,GH,80.85,light rain,4.8699,-2.2405,Axim Beach Resort And Spa
475,Labuhan,ID,84.52,moderate rain,-6.8844,112.2051,DoubleFAG
477,Acarau,BR,76.15,broken clouds,-2.8856,-40.12,castelo pizzaria
478,Sibolga,ID,80.73,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
483,Aden,YE,76.68,overcast clouds,12.7794,45.0367,Sama Emirate Hotel
486,Bacolod,PH,82.22,scattered clouds,10.6667,122.95,Planta Hotel & Residences
487,Lagos,NG,82.94,few clouds,6.5833,3.75,
489,Thiruvananthapuram,IN,87.78,few clouds,8.4833,76.9167,Hotel Residency Tower
497,Manokwari,ID,78.64,moderate rain,-0.8667,134.0833,Swiss Belhotel Manokwari
499,Isangel,VU,80.26,few clouds,-19.55,169.2667,Tanna Lodge
501,Ban Nahin,LA,88.83,clear sky,18.2418,104.2122,
504,Cairns,AU,87.12,overcast clouds,-16.9167,145.7667,Mantra Trilogy Cairns
505,Villamontes,BO,76.14,overcast clouds,-21.25,-63.5,Hotel Raldes
508,Mawlaik,MM,84.24,clear sky,23.6333,94.4167,AKZ Guest House
524,Cayenne,GF,78.1,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
526,Mpanda,TZ,76.71,light rain,-6.3655,31.0409,CH Hotel - Mpanda
527,Ca Mau,VN,88.47,overcast clouds,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
528,Ratnagiri,IN,77.94,overcast clouds,16.9833,73.3,Hotel Landmark
529,Clarence Town,AU,78.85,broken clouds,-32.5833,151.7833,River Downs Cottage
532,Ambanja,MG,80.53,broken clouds,-13.6833,48.45,Hotel Salama and Fast Food
535,Mackay,AU,85.98,clear sky,-21.15,149.2,International Lodge Motel
536,Bubaque,GW,77.72,few clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
