City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
88,Nzerekore,GN,2022-01-07 17:23:40,7.7562,-8.8179,92.73,16,53,1.86
89,Henties Bay,NA,2022-01-07 17:23:41,-22.116,14.2845,63.86,83,11,10.33
90,Mitsamiouli,KM,2022-01-07 17:23:41,-11.3847,43.2844,84.49,74,20,9.22
91,Carnarvon,AU,2022-01-07 17:23:42,-24.8667,113.6333,77.07,78,4,18.41
92,Hobart,AU,2022-01-07 17:23:42,-42.8794,147.3294,63.01,94,100,11.5
93,Vilhena,BR,2022-01-07 17:23:43,-12.7406,-60.1458,82.62,78,75,10.36
94,Bethel,US,2022-01-07 17:24:43,41.3712,-73.414,34.03,76,75,4.0
95,Walvis Bay,NA,2022-01-07 17:24:44,-22.9575,14.5053,65.35,68,27,8.05
96,Karratha,AU,2022-01-07 17:24:44,-20.7377,116.8463,84.06,57,100,6.53
97,Turukhansk,RU,2022-01-07 17:24:45,65.8167,87.9833,-12.33,81,100,14.85
98,Tanushimaru,JP,2022-01-07 17:24:45,33.35,130.6833,39.06,71,100,3.18
99,Georgetown,MY,2022-01-07 17:24:45,5.4112,100.3354,81.9,87,20,2.3
100,Mount Isa,AU,2022-01-07 17:24:46,-20.7333,139.5,78.57,18,0,6.91
101,Saskylakh,RU,2022-01-07 17:24:46,71.9167,114.0833,-25.22,99,99,3.0
102,Vila Velha,BR,2022-01-07 17:24:47,-20.3297,-40.2925,80.55,94,100,1.01
103,Sur,OM,2022-01-07 17:24:47,22.5667,59.5289,67.66,42,0,20.27
104,Berdigestyakh,RU,2022-01-07 17:24:47,62.0989,126.6992,-42.2,100,59,1.86
105,Puerto Leguizamo,CO,2022-01-07 17:24:48,-0.1934,-74.7819,94.42,32,55,4.47
106,Kamenka,RU,2022-01-07 17:24:48,51.3223,42.7678,27.75,89,100,19.57
107,Iskateley,RU,2022-01-07 17:24:09,67.6803,53.1512,2.26,90,100,5.48
108,Clyde River,CA,2022-01-07 17:24:48,70.4692,-68.5914,-8.55,81,100,3.69
109,Hurghada,EG,2022-01-07 17:24:49,27.2574,33.8129,68.04,56,0,0.0
110,Punta Arenas,CL,2022-01-07 17:22:27,-53.15,-70.9167,59.02,76,100,10.36
111,Campestre,BR,2022-01-07 17:24:49,-21.7111,-46.2464,73.74,90,100,3.56
112,Mount Gambier,AU,2022-01-07 17:24:50,-37.8333,140.7667,58.91,94,100,11.5
113,Moose Factory,CA,2022-01-07 17:24:50,51.2585,-80.6094,-4.04,85,63,4.99
114,San Cristobal,VE,2022-01-07 17:24:51,7.7669,-72.225,77.18,34,96,6.29
115,Petropavlovsk-Kamchatskiy,RU,2022-01-07 17:23:42,53.0452,158.6483,10.99,79,0,4.47
