City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
210,Cururupu,BR,-1.8283,-44.8683,74.88,92,99,2.42,overcast clouds
211,Neiafu,TO,-18.65,-173.9833,78.35,80,100,15.05,overcast clouds
212,Half Moon Bay,US,37.4636,-122.4286,51.91,83,0,0.0,clear sky
213,Iroquois Falls,CA,48.7669,-80.6831,24.94,90,100,11.52,overcast clouds
214,Lata,PT,40.1629,-8.3327,53.82,88,100,2.08,overcast clouds
215,Oistins,BB,13.0667,-59.5333,71.69,88,75,10.36,broken clouds
216,Tura,IN,25.5198,90.2201,76.86,37,0,5.39,clear sky
217,Cabo San Lucas,MX,22.8909,-109.9124,68.5,82,69,4.0,broken clouds
218,Maceio,BR,-9.6658,-35.7353,74.64,88,20,5.75,few clouds
219,Esperance,AU,-33.8667,121.9,69.64,59,7,19.86,clear sky
220,Kpandu,GH,6.9954,0.2931,82.02,52,50,0.36,scattered clouds
221,Galesong,ID,-5.3166,119.3661,84.22,71,64,10.94,broken clouds
222,Kushiro,JP,42.975,144.3747,27.55,63,75,9.22,broken clouds
223,Wagar,SD,16.1525,36.2032,82.72,53,5,10.45,clear sky
224,Bonga,ET,7.2833,36.2333,73.99,61,71,1.39,light rain
225,Tessalit,ML,20.1986,1.0114,54.72,24,0,11.25,clear sky
226,Arvika,SE,59.6553,12.5852,29.01,92,100,7.52,overcast clouds
227,Fairbanks,US,64.8378,-147.7164,-16.6,67,0,8.05,clear sky
228,Worpswede,DE,53.2167,8.9333,39.81,96,100,1.01,light rain
229,Jalu,LY,29.0331,21.5482,53.1,39,0,24.18,clear sky
230,Haines Junction,CA,60.7522,-137.5108,-49.05,65,95,2.3,overcast clouds
231,Srednekolymsk,RU,67.45,153.6833,-17.52,96,100,3.89,overcast clouds
232,Octeville,FR,49.6261,-1.6435,47.91,76,75,24.34,broken clouds
233,Juegang,CN,32.3174,121.1855,44.64,62,69,7.65,broken clouds
234,Jamestown,US,42.097,-79.2353,34.72,91,100,5.99,mist
235,Ouargaye,BF,11.5033,0.0572,71.78,12,0,13.89,clear sky
236,Kerrobert,CA,51.9168,-109.1348,-16.4,98,100,3.53,overcast clouds
237,Buala,SB,-8.145,159.5921,81.55,81,27,6.33,scattered clouds
238,Gizo,SB,-8.103,156.8419,83.68,73,15,7.7,light rain
239,Sur,OM,22.5667,59.5289,72.0,44,0,5.01,clear sky
240,Pakxan,LA,18.3778,103.6601,88.0,34,11,4.41,few clouds
241,Chokurdakh,RU,70.6333,147.9167,-11.34,94,100,9.75,overcast clouds
242,Dongsheng,CN,39.8161,109.9776,26.08,40,99,6.78,overcast clouds
243,Thunder Bay,CA,48.4001,-89.3168,6.71,66,75,20.71,broken clouds
244,Plavsk,RU,53.7094,37.2919,20.17,82,100,13.38,snow
245,Inuvik,CA,68.3499,-133.7218,-20.99,73,40,5.75,scattered clouds
